item,category,tags
Python Programming,Programming,python coding programming software
Machine Learning,AI,python machine learning artificial intelligence
Deep Learning,AI,python neural networks deep learning
Web Development,Programming,html css javascript web development
Data Science,Data,python pandas data analysis statistics
Cyber Security,Security,security networking ethical hacking cyber
Cloud Computing,Cloud,cloud aws azure computing servers
Mobile App Development,Development,android kotlin java mobile apps
Computer Networks,Networking,networking protocols communication internet
Database Management,Database,sql database mysql data storage
